Wavelength,Transmission
1.31373,0.107989
1.31473,0.107958
1.31573,0.107928
1.31673,0.107897
1.31773,0.107866
1.31873,0.107836
1.31974,0.107805
1.32074,0.107774
1.32174,0.107744
1.32274,0.107713
1.32374,0.107682
1.32474,0.107651
1.32574,0.107621
1.32674,0.10759
1.32774,0.107559
1.32874,0.107529
1.32974,0.107498
1.33074,0.107467
1.33175,0.107436
1.33275,0.107406
1.33375,0.107375
1.33475,0.107344
1.33575,0.107313
1.33675,0.107283
1.33775,0.107252
1.33875,0.107221
1.33975,0.107191
1.34075,0.10716
1.34175,0.107129
1.34275,0.107099
1.34376,0.107068
1.34476,0.107037
1.34576,0.107007
1.34676,0.106976
1.34776,0.106945
1.34876,0.106915
1.34976,0.106884
1.35076,0.106853
1.35176,0.106823
1.35276,0.106792
1.35376,0.106761
1.35476,0.106731
1.35576,0.1067
1.35677,0.10667
1.35777,0.106639
1.35877,0.106609
1.35977,0.106578
1.36077,0.106548
1.36177,0.106517
1.36277,0.106487
1.36377,0.106456
1.36477,0.106426
1.36577,0.106395
1.36677,0.106365
1.36777,0.106334
1.36878,0.106304
1.36978,0.106274
1.37078,0.106243
1.37178,0.106213
1.37278,0.106182
1.37378,0.106152
1.37478,0.106122
1.37578,0.106092
1.37678,0.106061
1.37778,0.106031
1.37878,0.106001
1.37978,0.105971
1.38078,0.10594
1.38179,0.10591
1.38279,0.10588
1.38379,0.10585
1.38479,0.10582
1.38579,0.10579
1.38679,0.10576
1.38779,0.10573
1.38879,0.1057
1.38979,0.10567
1.39079,0.10564
1.39179,0.10561
1.39279,0.10558
1.3938,0.10555
1.3948,0.10552
1.3958,0.10549
1.3968,0.10546
1.3978,0.105431
1.3988,0.105401
1.3998,0.105371
1.4008,0.105341
1.4018,0.105312
1.4028,0.105282
1.4038,0.105252
1.4048,0.105223
1.4058,0.105193
1.40681,0.105164
1.40781,0.105134
1.40881,0.105105
1.40981,0.105075
1.41081,0.105046
1.41181,0.105016
1.41281,0.104987
1.41381,0.104958
1.41481,0.104928
1.41581,0.104899
1.41681,0.10487
1.41781,0.104841
1.41882,0.104811
1.41982,0.104782
1.42082,0.104753
1.42182,0.104724
1.42282,0.104695
1.42382,0.104666
1.42482,0.104637
1.42582,0.104608
1.42682,0.104579
1.42782,0.10455
1.42882,0.104522
1.42982,0.104493
1.43082,0.104464
1.43183,0.104435
1.43283,0.104407
1.43383,0.104378
1.43483,0.104349
1.43583,0.104321
1.43683,0.104292
1.43783,0.104264
1.43883,0.104235
1.43983,0.104207
1.44083,0.104178
1.44183,0.10415
1.44283,0.104122
1.44384,0.104094
1.44484,0.104065
1.44584,0.104037
1.44684,0.104009
1.44784,0.103981
1.44884,0.103953
1.44984,0.103925
1.45084,0.103897
1.45184,0.103869
1.45284,0.103841
1.45384,0.103813
1.45484,0.103786
1.45584,0.103758
1.45685,0.10373
1.45785,0.103703
1.45885,0.103675
1.45985,0.103647
1.46085,0.10362
1.46185,0.103592
1.46285,0.103565
1.46385,0.103538
1.46485,0.10351
1.46585,0.103483
1.46685,0.103456
1.46785,0.103429
1.46886,0.103402
1.46986,0.103374
1.47086,0.103347
1.47186,0.10332
1.47286,0.103294
1.47386,0.103267
1.47486,0.10324
1.47586,0.103213
1.47686,0.103186
1.47786,0.10316
1.47886,0.103133
1.47986,0.103106
1.48086,0.10308
1.48187,0.103053
1.48287,0.103027
1.48387,0.103001
1.48487,0.102974
1.48587,0.102948
1.48687,0.102922
1.48787,0.102896
1.48887,0.10287
1.48987,0.102843
1.49087,0.102817
1.49187,0.102791
1.49287,0.102766
1.49388,0.10274
1.49488,0.102714
1.49588,0.102688
1.49688,0.102663
1.49788,0.102637
1.49888,0.102611
1.49988,0.102586
1.50088,0.10256
1.50188,0.102535
1.50288,0.10251
1.50388,0.102484
1.50488,0.102459
1.50588,0.102434
1.50689,0.102409
1.50789,0.102384
1.50889,0.102359
1.50989,0.102334
1.51089,0.102309
1.51189,0.102284
1.51289,0.102259
1.51389,0.102235
1.51489,0.10221
1.51589,0.102185
1.51689,0.102161
1.51789,0.102136
1.5189,0.102112
1.5199,0.102087
1.5209,0.102063
1.5219,0.102039
1.5229,0.102015
1.5239,0.10199
1.5249,0.101966
1.5259,0.101942
1.5269,0.101918
1.5279,0.101894
1.5289,0.101871
1.5299,0.101847
1.5309,0.101823
1.53191,0.101799
1.53291,0.101776
1.53391,0.101752
1.53491,0.101729
1.53591,0.101705
1.53691,0.101682
1.53791,0.101659
1.53891,0.101635
1.53991,0.101612
1.54091,0.101589
1.54191,0.101566
1.54291,0.101543
1.54392,0.10152
1.54492,0.101497
1.54592,0.101474
1.54692,0.101451
1.54792,0.101429
1.54892,0.101406
1.54992,0.101383
1.55092,0.101361
1.55192,0.101338
1.55292,0.101316
1.55392,0.101294
1.55492,0.101271
1.55592,0.101249
1.55693,0.101227
1.55793,0.101205
1.55893,0.101183
1.55993,0.101161
1.56093,0.101139
1.56193,0.101117
1.56293,0.101095
1.56393,0.101073
1.56493,0.101052
1.56593,0.10103
1.56693,0.101008
1.56793,0.100987
1.56894,0.100965
1.56994,0.100944
1.57094,0.100923
1.57194,0.100901
1.57294,0.10088
1.57394,0.100859
1.57494,0.100838
1.57594,0.100817
1.57694,0.100796
1.57794,0.100775
1.57894,0.100754
1.57994,0.100733
1.58094,0.100713
1.58195,0.100692
1.58295,0.100671
1.58395,0.100651
1.58495,0.10063
1.58595,0.10061
1.58695,0.100589
1.58795,0.100569
1.58895,0.100549
1.58995,0.100528
1.59095,0.100508
1.59195,0.100488
1.59295,0.100468
1.59396,0.100448
1.59496,0.100428
1.59596,0.100408
1.59696,0.100388
1.59796,0.100369
1.59896,0.100349
1.59996,0.100329
1.60096,0.10031
1.60196,0.10029
1.60296,0.100271
1.60396,0.100251
1.60496,0.100232
1.60596,0.100212
1.60697,0.100193
1.60797,0.100174
1.60897,0.100155
1.60997,0.100136
1.61097,0.100117
1.61197,0.100098
1.61297,0.100079
1.61397,0.10006
1.61497,0.100041
1.61597,0.100022
1.61697,0.100004
1.61797,0.0999848
1.61898,0.0999662
