File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.25e-006 1.3e-006.mat,1.25e-06,1.3e-06,0.6727830783964409
E_field_data_1.1e-006 3.5e-007.mat,1.1e-06,3.5e-07,0.5137447988330964
E_field_data_1.1e-006 4.5e-007.mat,1.1e-06,4.5e-07,0.5751604801395923
E_field_data_1.4e-006 9.5e-007.mat,1.4e-06,9.5e-07,0.733713161567124
E_field_data_1.15e-006 8e-007.mat,1.15e-06,8e-07,0.6965966473476481
E_field_data_1.15e-006 9e-007.mat,1.15e-06,9e-07,0.7250339138923388
E_field_data_1.45e-006 4e-007.mat,1.45e-06,4e-07,0.5402962288869619
E_field_data_1.45e-006 5e-007.mat,1.45e-06,5e-07,0.6020018410399401
E_field_data_1.15e-006 9.5e-007.mat,1.15e-06,9.5e-07,0.7290051007870981
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.6548895210031788
E_field_data_1.45e-006 1.2e-006.mat,1.45e-06,1.2e-06,0.7814086249039419
E_field_data_1.1e-006 1.25e-006.mat,1.1e-06,1.25e-06,0.780288646518268
E_field_data_1.45e-006 1.3e-006.mat,1.45e-06,1.3e-06,0.7980146097934883
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.6705367876445597
E_field_data_1.15e-006 3e-007.mat,1.15e-06,3e-07,0.46813993005752735
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.6367951023764967
E_field_data_1.4e-006 4.5e-007.mat,1.4e-06,4.5e-07,0.5764390986313627
E_field_data_1.1e-006 9.5e-007.mat,1.1e-06,9.5e-07,0.7294317781373246
E_field_data_1.3e-006 1.15e-006.mat,1.3e-06,1.15e-06,0.7769608225461949
E_field_data_1.5e-006 7e-007.mat,1.5e-06,7e-07,0.6722970668926846
E_field_data_1.5e-006 6e-007.mat,1.5e-06,6e-07,0.6658666730254852
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.688957270474539
E_field_data_1e-006 3.5e-007.mat,1e-06,3.5e-07,0.5106341882200593
E_field_data_1.45e-006 6.5e-007.mat,1.45e-06,6.5e-07,0.6556642048683881
E_field_data_1.3e-006 1.3e-006.mat,1.3e-06,1.3e-06,0.798500121282432
E_field_data_1.3e-006 1.2e-006.mat,1.3e-06,1.2e-06,0.7806888248764807
E_field_data_1.05e-006 1.1e-006.mat,1.05e-06,1.1e-06,0.9746423866139734
E_field_data_1.15e-006 4.5e-007.mat,1.15e-06,4.5e-07,0.5716585502964576
E_field_data_1.2e-006 3.5e-007.mat,1.2e-06,3.5e-07,0.5137245954506036
E_field_data_1.4e-006 1e-006.mat,1.4e-06,1e-06,0.7429285110415705
E_field_data_1e-006 1.05e-006.mat,1e-06,1.05e-06,0.611417543982962
E_field_data_1.3e-006 1e-006.mat,1.3e-06,1e-06,0.7416645638511693
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.6921659242081687
E_field_data_1.5e-006 1.05e-006.mat,1.5e-06,1.05e-06,0.764811348036676
E_field_data_1.25e-006 4.5e-007.mat,1.25e-06,4.5e-07,0.5761371967821383
E_field_data_1.5e-006 9.5e-007.mat,1.5e-06,9.5e-07,0.7343302735429542
E_field_data_1.35e-006 1.1e-006.mat,1.35e-06,1.1e-06,0.7659982559327103
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.6661994251338641
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.6332031375223338
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.6361396125801412
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.6704662374887108
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.6542025684173054
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.6511201497227701
E_field_data_1.45e-006 3.5e-007.mat,1.45e-06,3.5e-07,0.5145310788065374
E_field_data_1.25e-006 9.5e-007.mat,1.25e-06,9.5e-07,0.7312731140404425
E_field_data_1.5e-006 4.5e-007.mat,1.5e-06,4.5e-07,0.576732175352182
E_field_data_1.2e-006 1.25e-006.mat,1.2e-06,1.25e-06,0.9823683087514763
E_field_data_1.35e-006 1e-006.mat,1.35e-06,1e-06,0.742661342799662
E_field_data_1.1e-006 5e-007.mat,1.1e-06,5e-07,0.6001716773542012
E_field_data_1.1e-006 4e-007.mat,1.1e-06,4e-07,0.5728308095168853
E_field_data_1.2e-006 1.2e-006.mat,1.2e-06,1.2e-06,0.7808914979580586
E_field_data_1.2e-006 1.3e-006.mat,1.2e-06,1.3e-06,0.7970836696115939
E_field_data_1.05e-006 4e-007.mat,1.05e-06,4e-07,0.5383342075188757
E_field_data_1e-006 1.3e-006.mat,1e-06,1.3e-06,0.7867474465714153
E_field_data_1.05e-006 5e-007.mat,1.05e-06,5e-07,0.5990275197644732
E_field_data_1e-006 1.2e-006.mat,1e-06,1.2e-06,0.7704268947499449
E_field_data_1.3e-006 3.5e-007.mat,1.3e-06,3.5e-07,0.5143410164938707
