Wavelength(um),R_with,R_without
0.771297,0.101132,0.0352763
0.772298,0.101338,0.0352713
0.773299,0.101529,0.0352662
0.774299,0.101705,0.0352611
0.7753,0.101865,0.0352559
0.776301,0.10201,0.0352506
0.777302,0.102139,0.0352453
0.778303,0.102252,0.0352398
0.779303,0.10235,0.0352344
0.780304,0.102432,0.0352288
0.781305,0.102497,0.0352232
0.782306,0.102547,0.0352176
0.783307,0.10258,0.0352118
0.784307,0.102598,0.0352061
0.785308,0.102599,0.0352003
0.786309,0.102584,0.0351944
0.78731,0.102554,0.0351885
0.788311,0.102507,0.0351825
0.789311,0.102445,0.0351765
0.790312,0.102367,0.0351705
0.791313,0.102274,0.0351644
0.792314,0.102165,0.0351583
0.793315,0.102042,0.0351521
0.794315,0.101903,0.0351459
0.795316,0.101749,0.0351397
0.796317,0.10158,0.0351335
0.797318,0.101398,0.0351272
0.798319,0.101201,0.0351209
0.799319,0.10099,0.0351146
0.80032,0.100766,0.0351082
0.801321,0.100528,0.0351018
0.802322,0.100277,0.0350954
0.803323,0.100014,0.035089
0.804323,0.0997376,0.0350826
0.805324,0.0994495,0.0350761
0.806325,0.0991496,0.0350697
0.807326,0.0988382,0.0350632
0.808327,0.0985158,0.0350567
0.809327,0.0981825,0.0350502
0.810328,0.0978388,0.0350437
0.811329,0.097485,0.0350372
0.81233,0.0971214,0.0350307
0.813331,0.0967484,0.0350242
0.814331,0.0963664,0.0350176
0.815332,0.0959756,0.0350111
0.816333,0.0955765,0.0350046
0.817334,0.0951694,0.0349981
0.818335,0.0947545,0.0349916
0.819335,0.0943323,0.0349851
0.820336,0.0939031,0.0349786
0.821337,0.0934671,0.0349721
0.822338,0.0930248,0.0349656
0.823339,0.0925764,0.0349591
0.824339,0.0921222,0.0349526
0.82534,0.0916626,0.0349462
0.826341,0.0911977,0.0349397
0.827342,0.090728,0.0349333
0.828343,0.0902536,0.0349268
0.829343,0.0897748,0.0349204
0.830344,0.0892919,0.034914
0.831345,0.0888051,0.0349077
0.832346,0.0883146,0.0349013
0.833347,0.0878207,0.034895
0.834347,0.0873236,0.0348887
0.835348,0.0868234,0.0348824
0.836349,0.0863205,0.0348761
0.83735,0.0858148,0.0348699
0.838351,0.0853067,0.0348636
0.839351,0.0847962,0.0348574
0.840352,0.0842836,0.0348513
0.841353,0.0837689,0.0348451
0.842354,0.0832523,0.034839
0.843355,0.0827339,0.0348329
0.844355,0.0822139,0.0348268
0.845356,0.0816922,0.0348208
0.846357,0.081169,0.0348148
0.847358,0.0806445,0.0348088
0.848359,0.0801185,0.0348028
0.849359,0.0795914,0.0347969
0.85036,0.0790629,0.034791
0.851361,0.0785334,0.0347852
0.852362,0.0780027,0.0347794
0.853363,0.0774709,0.0347736
0.854363,0.076938,0.0347678
0.855364,0.0764042,0.0347621
0.856365,0.0758693,0.0347564
0.857366,0.0753334,0.0347508
0.858367,0.0747965,0.0347452
0.859367,0.0742587,0.0347396
0.860368,0.0737198,0.034734
0.861369,0.07318,0.0347285
0.86237,0.0726392,0.0347231
0.863371,0.0720975,0.0347176
0.864371,0.0715547,0.0347122
0.865372,0.0710109,0.0347069
0.866373,0.0704661,0.0347016
0.867374,0.0699203,0.0346963
0.868375,0.0693734,0.0346911
0.869376,0.0688255,0.0346859
0.870376,0.0682765,0.0346807
0.871377,0.0677265,0.0346756
0.872378,0.0671753,0.0346705
0.873379,0.0666231,0.0346655
0.87438,0.0660698,0.0346605
0.87538,0.0655153,0.0346555
0.876381,0.0649598,0.0346506
0.877382,0.0644032,0.0346457
0.878383,0.0638454,0.0346409
0.879384,0.0632865,0.0346361
0.880384,0.0627266,0.0346313
0.881385,0.0621655,0.0346266
0.882386,0.0616034,0.0346219
0.883387,0.0610402,0.0346173
0.884388,0.060476,0.0346127
0.885388,0.0599108,0.0346082
0.886389,0.0593446,0.0346036
0.88739,0.0587774,0.0345992
0.888391,0.0582094,0.0345948
0.889392,0.0576404,0.0345904
0.890392,0.0570706,0.034586
0.891393,0.0565,0.0345817
0.892394,0.0559287,0.0345775
0.893395,0.0553567,0.0345732
0.894396,0.0547841,0.0345691
0.895396,0.0542109,0.0345649
0.896397,0.0536372,0.0345608
0.897398,0.0530631,0.0345568
0.898399,0.0524886,0.0345528
0.8994,0.0519139,0.0345488
0.9004,0.0513389,0.0345449
0.901401,0.0507638,0.034541
0.902402,0.0501887,0.0345371
0.903403,0.0496137,0.0345333
0.904404,0.0490388,0.0345295
0.905404,0.0484641,0.0345258
0.906405,0.0478898,0.0345221
0.907406,0.0473159,0.0345185
0.908407,0.0467426,0.0345149
0.909408,0.0461699,0.0345113
0.910408,0.0455979,0.0345077
0.911409,0.0450268,0.0345042
0.91241,0.0444566,0.0345008
0.913411,0.0438875,0.0344974
0.914412,0.0433196,0.034494
0.915412,0.042753,0.0344907
0.916413,0.0421878,0.0344873
0.917414,0.0416241,0.0344841
0.918415,0.041062,0.0344809
0.919416,0.0405017,0.0344777
0.920416,0.0399432,0.0344745
0.921417,0.0393867,0.0344714
0.922418,0.0388322,0.0344683
0.923419,0.03828,0.0344653
0.92442,0.03773,0.0344622
0.92542,0.0371824,0.0344593
0.926421,0.0366374,0.0344563
0.927422,0.036095,0.0344534
0.928423,0.0355553,0.0344506
0.929424,0.0350185,0.0344477
0.930424,0.0344846,0.0344449
0.931425,0.0339538,0.0344422
0.932426,0.0334261,0.0344394
0.933427,0.0329017,0.0344367
0.934428,0.0323806,0.0344341
0.935428,0.031863,0.0344314
0.936429,0.0313489,0.0344288
0.93743,0.0308385,0.0344262
0.938431,0.0303317,0.0344237
0.939432,0.0298288,0.0344212
0.940432,0.0293297,0.0344187
0.941433,0.0288346,0.0344163
0.942434,0.0283436,0.0344139
0.943435,0.0278567,0.0344115
0.944436,0.027374,0.0344091
0.945436,0.0268955,0.0344068
0.946437,0.0264214,0.0344045
0.947438,0.0259517,0.0344023
0.948439,0.0254865,0.0344
0.94944,0.0250258,0.0343978
0.95044,0.0245697,0.0343956
0.951441,0.0241183,0.0343935
