wl,n,k
0.822,5.269306,1.275776
0.823,5.267831,1.273787
0.824,5.266444,1.271868
0.825,5.265144,1.270013
0.826,5.263933,1.26822
0.827,5.26281,1.266484
0.828,5.261777,1.2648
0.829,5.260834,1.263165
0.83,5.259981,1.261575
0.831,5.259218,1.260026
0.832,5.258545,1.258513
0.833,5.257961,1.257034
0.834,5.257467,1.255584
0.835,5.257062,1.254159
0.836,5.256745,1.252756
0.837,5.256516,1.251372
0.838,5.256373,1.250002
0.839,5.256316,1.248644
0.84,5.256344,1.247294
0.841,5.256455,1.24595
0.842,5.256649,1.244606
0.843,5.256924,1.243262
0.844,5.257278,1.241913
0.845,5.257711,1.240557
0.846,5.258221,1.239191
0.847,5.258806,1.237813
0.848,5.259463,1.236419
0.849,5.260193,1.235008
0.85,5.260993,1.233576
0.851,5.26186,1.232122
0.852,5.262794,1.230643
0.853,5.263792,1.229137
0.854,5.264851,1.227603
0.855,5.265971,1.226038
0.856,5.26715,1.224441
0.857,5.268384,1.222809
0.858,5.269672,1.221141
0.859,5.271011,1.219437
0.86,5.272401,1.217693
0.861,5.273838,1.215909
0.862,5.27532,1.214084
0.863,5.276846,1.212217
0.864,5.278412,1.210306
0.865,5.280018,1.208351
0.866,5.28166,1.20635
0.867,5.283338,1.204304
0.868,5.285047,1.20221
0.869,5.286788,1.20007
0.87,5.288557,1.197882
0.871,5.290353,1.195645
0.872,5.292173,1.19336
0.873,5.294016,1.191026
0.874,5.29588,1.188644
0.875,5.297763,1.186212
0.876,5.299663,1.183731
0.877,5.30158,1.181201
0.878,5.30351,1.178622
0.879,5.305454,1.175994
0.88,5.307409,1.173317
0.881,5.309374,1.170592
0.882,5.311348,1.167819
0.883,5.313332,1.164997
0.884,5.315323,1.162129
0.885,5.317322,1.159213
0.886,5.319329,1.15625
0.887,5.321346,1.15324
0.888,5.323376,1.150183
0.889,5.325429,1.147075
0.89,5.327504,1.143892
0.891,5.329579,1.140628
0.892,5.331647,1.137289
0.893,5.333699,1.133876
0.894,5.335733,1.130392
0.895,5.337743,1.126841
0.896,5.339726,1.123223
0.897,5.34168,1.119543
0.898,5.343601,1.115801
0.899,5.345488,1.112001
0.9,5.347337,1.108143
0.901,5.349147,1.104232
0.902,5.350916,1.100268
0.903,5.352642,1.096254
0.904,5.354324,1.092192
0.905,5.35596,1.088084
0.906,5.357548,1.083932
0.907,5.359088,1.079738
0.908,5.360578,1.075505
0.909,5.362018,1.071234
0.91,5.363406,1.066927
0.911,5.364741,1.062586
0.912,5.366022,1.058214
0.913,5.36725,1.053811
0.914,5.368422,1.049381
0.915,5.369539,1.044924
0.916,5.3706,1.040443
0.917,5.371605,1.03594
0.918,5.372553,1.031417
0.919,5.373443,1.026874
0.92,5.374276,1.022315
0.921,5.375052,1.01774
0.922,5.375769,1.013152
0.923,5.376429,1.008552
0.924,5.37703,1.003942
0.925,5.377573,0.9993241
0.926,5.378058,0.994699
0.927,5.378485,0.9900688
0.928,5.378854,0.9854349
0.929,5.379165,0.9807988
0.93,5.379418,0.9761623
0.931,5.379614,0.9715267
0.932,5.379752,0.9668935
0.933,5.379834,0.9622642
0.934,5.379859,0.9576401
0.935,5.379827,0.9530227
0.936,5.37974,0.9484133
0.937,5.379597,0.9438133
0.938,5.379399,0.9392239
0.939,5.379146,0.9346464
