Wavelength,Transmission
1.1446,0.0105312
1.1456,0.0108103
1.1466,0.011092
1.1476,0.0113764
1.1486,0.0116632
1.1496,0.0119526
1.1506,0.0122445
1.1516,0.0125388
1.1526,0.0128356
1.1536,0.0131349
1.1546,0.0134366
1.1556,0.0137406
1.15661,0.014047
1.15761,0.0143558
1.15861,0.0146669
1.15961,0.0149804
1.16061,0.0152962
1.16161,0.0156142
1.16261,0.0159346
1.16361,0.0162572
1.16461,0.0165821
1.16561,0.0169092
1.16661,0.0172386
1.16761,0.0175702
1.16861,0.017904
1.16962,0.01824
1.17062,0.0185782
1.17162,0.0189187
1.17262,0.0192613
1.17362,0.0196061
1.17462,0.0199531
1.17562,0.0203022
1.17662,0.0206535
1.17762,0.021007
1.17862,0.0213626
1.17962,0.0217203
1.18062,0.0220802
1.18163,0.0224422
1.18263,0.0228064
1.18363,0.0231727
1.18463,0.0235411
1.18563,0.0239115
1.18663,0.0242841
1.18763,0.0246588
1.18863,0.0250356
1.18963,0.0254145
1.19063,0.0257954
1.19163,0.0261784
1.19263,0.0265634
1.19363,0.0269505
1.19464,0.0273397
1.19564,0.0277308
1.19664,0.028124
1.19764,0.0285191
1.19864,0.0289163
1.19964,0.0293154
1.20064,0.0297165
1.20164,0.0301195
1.20264,0.0305245
1.20364,0.0309314
1.20464,0.0313402
1.20564,0.0317508
1.20665,0.0321633
1.20765,0.0325777
1.20865,0.0329938
1.20965,0.0334118
1.21065,0.0338315
1.21165,0.034253
1.21265,0.0346762
1.21365,0.0351011
1.21465,0.0355277
1.21565,0.0359559
1.21665,0.0363857
1.21765,0.0368171
1.21865,0.03725
1.21966,0.0376845
1.22066,0.0381205
1.22166,0.0385578
1.22266,0.0389967
1.22366,0.0394368
1.22466,0.0398784
1.22566,0.0403212
1.22666,0.0407653
1.22766,0.0412105
1.22866,0.041657
1.22966,0.0421046
1.23066,0.0425533
1.23167,0.043003
1.23267,0.0434537
1.23367,0.0439054
1.23467,0.044358
1.23567,0.0448114
1.23667,0.0452656
1.23767,0.0457206
1.23867,0.0461762
1.23967,0.0466326
1.24067,0.0470895
1.24167,0.0475469
1.24267,0.0480048
1.24367,0.0484632
1.24468,0.0489219
1.24568,0.0493809
1.24668,0.0498402
1.24768,0.0502997
1.24868,0.0507593
1.24968,0.0512191
1.25068,0.0516788
1.25168,0.0521385
1.25268,0.052598
1.25368,0.0530575
1.25468,0.0535167
1.25568,0.0539756
1.25669,0.0544341
1.25769,0.0548923
1.25869,0.0553499
1.25969,0.0558071
1.26069,0.0562636
1.26169,0.0567195
1.26269,0.0571746
1.26369,0.057629
1.26469,0.0580825
1.26569,0.058535
1.26669,0.0589866
1.26769,0.0594372
1.26869,0.0598866
1.2697,0.0603349
1.2707,0.060782
1.2717,0.0612277
1.2727,0.0616721
1.2737,0.0621151
1.2747,0.0625566
1.2757,0.0629965
1.2767,0.0634349
1.2777,0.0638716
1.2787,0.0643066
1.2797,0.0647398
1.2807,0.0651712
1.28171,0.0656007
1.28271,0.0660282
1.28371,0.0664537
1.28471,0.0668772
1.28571,0.0672986
1.28671,0.0677178
1.28771,0.0681347
1.28871,0.0685494
1.28971,0.0689618
1.29071,0.0693718
1.29171,0.0697794
1.29271,0.0701845
1.29371,0.0705871
1.29472,0.0709872
1.29572,0.0713846
1.29672,0.0717794
1.29772,0.0721714
1.29872,0.0725608
1.29972,0.0729474
1.30072,0.0733311
1.30172,0.073712
1.30272,0.0740901
1.30372,0.0744652
1.30472,0.0748373
1.30572,0.0752064
1.30673,0.0755726
1.30773,0.0759356
1.30873,0.0762956
1.30973,0.0766525
1.31073,0.0770063
1.31173,0.0773568
1.31273,0.0777042
1.31373,0.0780484
1.31473,0.0783894
1.31573,0.0787271
1.31673,0.0790616
1.31773,0.0793928
1.31873,0.0797207
1.31974,0.0800452
1.32074,0.0803665
1.32174,0.0806844
1.32274,0.080999
1.32374,0.0813102
1.32474,0.0816181
1.32574,0.0819226
1.32674,0.0822238
1.32774,0.0825216
1.32874,0.082816
1.32974,0.0831071
1.33074,0.0833947
1.33175,0.0836791
1.33275,0.0839601
1.33375,0.0842377
1.33475,0.084512
1.33575,0.0847829
1.33675,0.0850505
1.33775,0.0853149
1.33875,0.0855759
1.33975,0.0858336
1.34075,0.0860881
1.34175,0.0863393
1.34275,0.0865872
1.34376,0.086832
1.34476,0.0870736
1.34576,0.0873119
1.34676,0.0875472
1.34776,0.0877793
1.34876,0.0880083
1.34976,0.0882342
1.35076,0.0884571
1.35176,0.088677
1.35276,0.0888939
1.35376,0.0891078
1.35476,0.0893188
1.35576,0.0895269
1.35677,0.0897321
1.35777,0.0899345
1.35877,0.0901341
1.35977,0.090331
1.36077,0.0905251
1.36177,0.0907166
1.36277,0.0909054
